node_id,longitude,latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
1,121.2565678,30.69942474,0,37,1,0,0,0,0,0,0
2,121.2745341,30.69942474,0,4394,0.173913043,0,0.086956522,0.086956522,0.652173913,0,0
3,121.2925004,30.69942474,1976.912598,5091,0.25,0,0,0,0.75,0,0
4,121.3104667,30.69942474,0,7984,0,0,0,0.5,0.5,0,0
5,121.328433,30.69942474,0,9127,0.166666667,0,0,0,0.833333333,0,0
6,121.3463993,30.69942474,0,133,0,0,0,0,0,0,0
7,121.2565678,30.71487196,0,198,0,0,0,1,0,0,0
8,121.2745341,30.71487196,122.9526291,1833,0.025641026,0,0,0.41025641,0.564102564,0,0
9,121.2925004,30.71487196,536.7171326,4032,0.132352941,0,0.014705882,0.132352941,0.691176471,0,0
10,121.3104667,30.71487196,2113.437988,23295,0.196969697,0,0.136363636,0,0.636363636,0,0
11,121.328433,30.71487196,3158.293823,32627,0.165816327,0.005952381,0.329931973,0.322278912,0.099489796,0.027210884,0.004251701
12,121.3463993,30.71487196,234.1414642,28495,0.156906907,0.004504505,0.158408408,0.578078078,0.042042042,0.014264264,0.003753754
13,121.3643656,30.71487196,0,73,0,0,0,0,0,0,0
14,121.2565678,30.73031671,72.88011169,17,0,0,0,0,0,0,0
15,121.2745341,30.73031671,65.47447205,2824,0.041322314,0,0.074380165,0.115702479,0.768595041,0,0
16,121.2925004,30.73031671,679.1733704,7193,0.057142857,0.002197802,0.498901099,0.028571429,0.389010989,0.002197802,0
17,121.3104667,30.73031671,1883.690063,14436,0.228592163,0,0.555878084,0.02467344,0.101596517,0.009433962,0
18,121.328433,30.73031671,2002.715439,20716,0.223640662,0.005673759,0.382033097,0.220330969,0.082742317,0.013711584,0.002364066
19,121.3463993,30.73031671,133.386322,19808,0.179240235,0.006420546,0.339218834,0.315676833,0.051899411,0.012841091,0.008560728
20,121.3643656,30.73031671,86.23062134,10848,0.086720867,0,0.547425474,0.075880759,0.154471545,0.005420054,0.037940379
21,121.3823319,30.73031671,0,25,0,0,0.5,0,0,0,0
22,121.2386015,30.74575899,0,36,0,0,0,0,0,0,0
23,121.2565678,30.74575899,101.6763401,495,0,0,0,1,0,0,0
24,121.2745341,30.74575899,145.6206589,1908,0,0,0,0.875,0.125,0,0
25,121.2925004,30.74575899,2200.375771,1414,0.103448276,0,0.120689655,0.327586207,0.379310345,0,0
26,121.3104667,30.74575899,1970.517395,7522,0.25,0,0.432835821,0.029850746,0.179104478,0.01119403,0
27,121.328433,30.74575899,515.0421219,9536,0.34086629,0.007532957,0.239171375,0.148775895,0.146892655,0.020715631,0.015065913
28,121.3463993,30.74575899,259.0819168,12785,0.167173252,0.012158055,0.465045593,0.088145897,0.136778116,0.009118541,0.006079027
29,121.3643656,30.74575899,392.7272072,14689,0.072727273,0,0.195454545,0.077272727,0.627272727,0.013636364,0
30,121.3823319,30.74575899,610.7645645,3268,0.15,0,0,0.35,0.5,0,0
31,121.4002982,30.74575899,0,27,0,0,0,0,0,0,0
32,121.2206352,30.76119879,0,61,0,0,0,1,0,0,0
33,121.2386015,30.76119879,199.2037048,525,0.111111111,0,0,0.777777778,0,0.111111111,0
34,121.2565678,30.76119879,38.67301273,661,0.086956522,0,0.130434783,0.695652174,0.043478261,0.043478261,0
